__file__,1.corporate_identity_number_cin,1.global_location_number_gln,2.name_of_the_company,2.address_of_the_registered_office,2.email_id_of_the_company,3.form_for_registration_of,4.applicant_is,5.date_of_instrument_creating_or_modifying_charge,5.nature_description_of_instrument,5.charge_created_or_modified_outside_india,6,7.charge_on,7.others_specify,8.consortium_finance_involved,8.joint_charge_involved,8.number_of_charge_holders,9.category,9.name,9.address.line1,9.address.line2,9.address.city,9.address.state,9.address.country,9.address.pin_code,9.address.iso_country_code,9.email_id,9.has_pan,9.pan,9.bsr_code_branch_code,10.amount_secured_by_charge_in_rs,10.amount_secured_by_charge_in_words,10.amount_in_foreign_currency_details,11.date_of_creating_security_interest,11.borrower_customer_account_number,11.rate_of_interest,11.repayment_term_in_months,11.terms_of_repayment,11.nature_of_facility,11.date_of_disbursement,11.miscellaneous_narrative_information,11.margin,11.extent_and_operation_of_the_charge,11.others,12.date_of_instrument_creating_or_evidencing_the_charge,12.description_of_the_instrument_creating_or_evidencing_the_charge,12.date_of_acquisition_of_the_property,12.amount_of_the_charge_in_rs,12.particulars_of_the_property_charged,13.short_particulars_of_property_or_assets_charged,14.number_of_title_documents_deposited_by_customer,15.is_property_not_registered_in_company_name,16.date_of_creation_or_last_modification_prior_to_present
0_CERTIFICATE_OF_REGISTRATION_OF_CHARGE-20160908.pdf,,,: ASB PROJECTS LIMITED.,,,Creation of charge,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_CERTIFICATE_OF_REGISTRATION_OF_CHARGE-20210406.pdf,,,: ATOP FASTENERS PRIVATE LIMITED,,,Creation of charge,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_Company_CSR_policy_as_per_section_135_4_-28092022.pdf,,,,,,,The Company,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_Copy_of_MGT-8-29112022.pdf,U99999CH1997PTC019687,,,,csvishalarora@yahoo.in,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_Form_ADT-1-16102022_signed.pdf,,,ARIES HABITAT PRIVATE LIMITED,of the company Ameerpet Hyderabad Telangana 500016 India (c) *,arunbombay@gmail.com,,,01/04/2021,,,,[],,,,,,,,,,,,,,,,,,,,,01/04/2021,,,,,,,,,,,,,,,,,,,
0_Form_Addendum_to_AOC-4_CSR-12102022_signed.pdf,,,IPAS DEVELOPMENT FOUNDATION,"2, PASCHIMI MARG, 3RD FLOOR VASANT VIHAR NEW DELHI South Delhi Delhi 110057 India *(d) email ID of the company sethip@ipas.org",sethip@ipas.org,,The Company,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No the property or property or spent registered owner,,,
0_Form_CFSS-2020-25062021_signed.pdf,,,(b) *Address of the registered office or principal place of business in India of the company,"2, PASCHIMI MARG, 3RD FLOOR VASANT VIHAR NEW DELHI South Delhi (c) *email Id of the company manningv@ipas.org",manningv@ipas.org,,,03/06/2021,,,,[],,,,,,,,,,,,,,,,,,,,,03/06/2021,,,,,,,,,,,,,,,,,,,
0_Form_CHG-1-06042021-signed.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_Form_DIR-11-220415.OCT.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_Form_DIR-12-02012022_signed.pdf,,,ARIES HABITAT PRIVATE LIMITED,,arunbombay@gmail.com,,,05/06/1989,,,,[],,,,,,,,,,,,,,,,,,,,,05/06/1989,,,,,,,,,,,,,,,,,,,
0_Form_DIR-12-15032021_signed.pdf,,,ATOP FASTENERS PRIVATE LIMITED,,rakesh@atopfasteners.com,,,03/10/1976,,,,[],,,,,,,,,,,,,,,,,,,,,03/10/1976,,,,,,,,,,,,,,,,,,,
0_Form_DIR-12-19092022_signed.pdf,,,IPAS DEVELOPMENT FOUNDATION,,sethip@ipas.org,,,08/05/1979,,,,[],,,,,,,,,,,,,,,,,,,,,08/05/1979,,,,,,,,,,,,,,,,,,,
0_Form_DIR-12-28022018_signed.pdf,,,ASB PROJECTS LIMITED.,,accounts@ashokcosmosmall.com,,,06/08/1932,,,,[],,,,,,,,,,,,,,,,,,,,,06/08/1932,,,,,,,,,,,,,,,,,,,
0_Form_DPT-3-13072022_signed.pdf,,,ATOP FASTENERS PRIVATE LIMITED,,rakesh@atopfasteners.com,,The Company,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(d) Value of the property,,,
0_Form_MGT-7-11112022.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_Form_PAS-6-21112022_signed.pdf,,,ASB PROJECTS LIMITED.,,accounts@ashokcosmosmall.com,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_List_of_Directors_-28112022.pdf,U85110TG1990PTCO11527,,,,arunbombay@gmail.com,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_List_of_share_holders__debenture_holders_-11112022.pdf,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_Directors_report_as_per_section_134_3_-04012022.pdf,U85110UP1994PLC016361,,,,,,,01/12/2020,,,,[],,,,,,,,,,,,,,,,,,,,,01/12/2020,,,,,,,,,,,,,,,,,,,
